utc_date, utc_time,latitude,longitude,fix_quality,num_satellites,hdop,altitude,geoid_height
2026-03-26,175549.60,29.6468598,-82.3473834,1,12,0.8,48.931,-30.342
2026-03-26,175605.80,29.6468495,-82.3473804,1,12,0.8,48.892,-30.342
2026-03-26,175633.10,29.6468280,-82.3473957,2,12,0.8,49.547,-30.342
2026-03-26,175707.10,29.6468733,-82.3473273,2,12,0.7,49.413,-30.342
2026-03-26,175711.20,29.6468833,-82.3472563,2,12,0.7,49.105,-30.342
2026-03-26,175715.30,29.6468793,-82.3471831,2,12,0.7,49.000,-30.342
2026-03-26,175721.40,29.6468765,-82.3470729,2,12,0.7,48.710,-30.343
2026-03-26,175728.30,29.6468446,-82.3469518,2,12,0.7,48.213,-30.343
2026-03-26,175745.90,29.6468158,-82.3466492,2,12,0.7,47.164,-30.343
2026-03-26,175756.10,29.6467545,-82.3464941,2,12,0.7,46.513,-30.343
2026-03-26,175806.50,29.6467688,-82.3463711,2,12,0.7,46.486,-30.343
2026-03-26,175819.30,29.6468480,-82.3461845,2,12,0.7,47.421,-30.343
2026-03-26,175828.10,29.6469061,-82.3460587,2,12,0.7,48.283,-30.343
2026-03-26,175834.70,29.6469532,-82.3459695,2,12,0.7,49.421,-30.343
2026-03-26,175849.70,29.6470554,-82.3457447,2,12,0.7,50.659,-30.343
2026-03-26,175914.90,29.6472233,-82.3453856,2,12,0.7,50.351,-30.344
2026-03-26,175919.20,29.6472530,-82.3453188,2,12,0.7,50.227,-30.344
2026-03-26,175924.00,29.6472843,-82.3452485,2,12,0.7,49.683,-30.344
2026-03-26,175927.90,29.6473086,-82.3451895,2,12,0.6,48.922,-30.344
2026-03-26,175932.40,29.6473470,-82.3451285,2,12,0.6,48.857,-30.344
2026-03-26,175943.00,29.6474378,-82.3450027,2,12,0.6,48.977,-30.344
2026-03-26,175947.70,29.6474780,-82.3449398,2,12,0.6,48.679,-30.344
2026-03-26,175950.70,29.6475043,-82.3449014,2,12,0.6,48.374,-30.345
2026-03-26,175953.90,29.6475348,-82.3448611,2,12,0.6,48.701,-30.345
2026-03-26,175957.70,29.6475627,-82.3448114,2,12,0.7,48.798,-30.345
2026-03-26,180001.20,29.6475897,-82.3447687,2,12,0.7,48.210,-30.345
2026-03-26,180010.00,29.6476393,-82.3446611,2,12,0.7,48.050,-30.345
2026-03-26,180015.60,29.6476970,-82.3446080,2,12,0.7,48.146,-30.345
2026-03-26,180017.30,29.6477224,-82.3446028,2,12,0.6,48.183,-30.345
2026-03-26,180017.90,29.6477310,-82.3446046,2,12,0.6,48.149,-30.345
2026-03-26,180022.90,29.6477944,-82.3446407,2,12,0.7,48.727,-30.345
2026-03-26,180026.70,29.6478434,-82.3446706,2,12,0.7,48.935,-30.345
2026-03-26,180029.40,29.6478715,-82.3447033,2,12,0.7,49.204,-30.345
2026-03-26,180030.20,29.6478778,-82.3447128,2,12,0.7,49.364,-30.345
2026-03-26,180032.10,29.6478919,-82.3447369,2,12,0.7,49.742,-30.345
2026-03-26,180036.40,29.6479222,-82.3447977,2,12,0.7,50.170,-30.345
2026-03-26,180038.90,29.6479396,-82.3448349,2,12,0.7,50.409,-30.345
2026-03-26,180040.90,29.6479563,-82.3448622,2,12,0.7,50.553,-30.345
2026-03-26,180043.50,29.6479806,-82.3448958,2,12,0.7,50.772,-30.345
2026-03-26,180043.90,29.6479836,-82.3449014,2,12,0.7,50.808,-30.345
2026-03-26,180051.90,29.6480373,-82.3450156,2,12,0.6,50.724,-30.345
2026-03-26,180103.50,29.6480331,-82.3451879,2,12,0.6,49.814,-30.345
2026-03-26,180108.20,29.6480046,-82.3452551,2,12,0.6,49.679,-30.345
2026-03-26,180109.30,29.6479972,-82.3452716,2,12,0.6,50.064,-30.345
2026-03-26,180113.20,29.6479670,-82.3453271,2,12,0.6,50.110,-30.345
2026-03-26,180121.30,29.6479207,-82.3454487,2,12,0.7,51.212,-30.345
2026-03-26,180126.00,29.6478946,-82.3455171,2,12,0.7,51.428,-30.345
2026-03-26,180129.60,29.6478749,-82.3455679,2,12,0.7,52.061,-30.345
2026-03-26,180136.00,29.6478363,-82.3456571,2,12,0.7,52.731,-30.345
2026-03-26,180147.20,29.6477663,-82.3458138,2,12,0.6,51.628,-30.344
2026-03-26,180151.90,29.6477416,-82.3458821,2,12,0.6,51.045,-30.344
2026-03-26,180155.30,29.6477276,-82.3459305,2,12,0.6,51.172,-30.344
2026-03-26,180156.90,29.6477142,-82.3459519,2,12,0.6,50.797,-30.344
2026-03-26,180159.70,29.6476901,-82.3459907,2,12,0.7,51.109,-30.344
2026-03-26,180200.70,29.6476813,-82.3460039,2,12,0.7,51.083,-30.344
2026-03-26,180205.10,29.6476505,-82.3460695,2,12,0.7,51.433,-30.344
2026-03-26,180211.60,29.6476105,-82.3461682,2,12,0.7,51.331,-30.344
2026-03-26,180214.30,29.6475924,-82.3462065,2,12,0.7,51.216,-30.344
2026-03-26,180218.70,29.6475667,-82.3462714,1,12,0.7,51.050,-30.344
2026-03-26,180219.80,29.6475598,-82.3462874,2,12,0.7,50.912,-30.344
2026-03-26,180228.50,29.6475085,-82.3464195,2,12,0.7,51.425,-30.344
2026-03-26,180233.80,29.6474831,-82.3464993,2,12,0.7,50.983,-30.344
2026-03-26,180236.30,29.6474640,-82.3465304,2,12,0.7,50.161,-30.344
2026-03-26,180240.40,29.6474304,-82.3465921,2,12,0.7,49.470,-30.344
2026-03-26,180243.50,29.6474094,-82.3466389,2,12,0.7,48.991,-30.343
2026-03-26,180250.20,29.6473683,-82.3467381,2,12,0.7,49.227,-30.343
2026-03-26,180305.50,29.6472768,-82.3469514,2,12,0.6,47.771,-30.343
2026-03-26,180312.80,29.6472251,-82.3470430,2,12,0.6,47.013,-30.343
2026-03-26,180324.40,29.6471256,-82.3471822,2,12,0.6,47.431,-30.343
2026-03-26,180326.70,29.6470991,-82.3472053,2,12,0.7,47.443,-30.343
2026-03-26,180338.40,29.6469739,-82.3473043,2,12,0.7,48.248,-30.343
2026-03-26,180341.00,29.6469388,-82.3473174,2,12,0.6,48.052,-30.343
2026-03-26,180343.70,29.6468982,-82.3473293,2,12,0.7,47.646,-30.342
2026-03-26,180646.20,29.6473141,-82.3475900,2,12,0.6,43.369,-30.343
2026-03-26,180646.70,29.6473210,-82.3475913,2,12,0.6,43.267,-30.343
2026-03-26,180647.30,29.6473283,-82.3475930,2,12,0.6,43.070,-30.343
2026-03-26,180647.80,29.6473340,-82.3475930,2,12,0.6,43.027,-30.343
